Season,Game #,Unique ID,Date,Team,Opponent,Team G,Opp G,Win Loss,Points,Referee,Team S,Opp S,Team SOT,Opp SOT,Team Fouls,Opp Fouls,Team Corner,Opp Corner,Team Yellows,Opp Yellow,Team Red,Opp Red
1993-94,1,Bayern Munich1,8/7/1993,Bayern Munich,Freiburg,3,1,Win,3,,,,,,,,,,,,,
1993-94,2,Bayern Munich2,8/14/1993,Bayern Munich,Leverkusen,1,2,Loss,0,,,,,,,,,,,,,
1993-94,3,Bayern Munich3,8/21/1993,Bayern Munich,Dresden,5,0,Win,3,,,,,,,,,,,,,
1993-94,4,Bayern Munich4,8/28/1993,Bayern Munich,Stuttgart,2,2,Draw,1,,,,,,,,,,,,,
1993-94,5,Bayern Munich5,9/1/1993,Bayern Munich,Leipzig,3,0,Win,3,,,,,,,,,,,,,
1993-94,6,Bayern Munich6,9/4/1993,Bayern Munich,Duisburg,2,2,Draw,1,,,,,,,,,,,,,
1993-94,7,Bayern Munich7,9/8/1993,Bayern Munich,Werder Bremen,0,1,Loss,0,,,,,,,,,,,,,
1993-94,8,Bayern Munich8,9/18/1993,Bayern Munich,Wattenscheid,3,3,Draw,1,,,,,,,,,,,,,
1993-94,9,Bayern Munich9,9/25/1993,Bayern Munich,Dortmund,1,1,Draw,1,,,,,,,,,,,,,
1993-94,10,Bayern Munich10,10/2/1993,Bayern Munich,Hamburg,4,0,Win,3,,,,,,,,,,,,,
1993-94,11,Bayern Munich11,10/9/1993,Bayern Munich,FC Koln,4,0,Win,3,,,,,,,,,,,,,
1993-94,12,Bayern Munich12,10/16/1993,Bayern Munich,M'Gladbach,3,1,Win,3,,,,,,,,,,,,,
1993-94,13,Bayern Munich13,10/23/1993,Bayern Munich,Ein Frankfurt,2,2,Draw,1,,,,,,,,,,,,,
1993-94,14,Bayern Munich14,10/30/1993,Bayern Munich,Kaiserslautern,4,0,Win,3,,,,,,,,,,,,,
1993-94,15,Bayern Munich15,11/6/1993,Bayern Munich,Nurnberg,0,2,Loss,0,,,,,,,,,,,,,
1993-94,16,Bayern Munich16,11/13/1993,Bayern Munich,Karlsruhe,1,0,Win,3,,,,,,,,,,,,,
1993-94,17,Bayern Munich17,11/20/1993,Bayern Munich,Schalke 04,1,1,Draw,1,,,,,,,,,,,,,
1993-94,18,Bayern Munich18,11/27/1993,Bayern Munich,Freiburg,1,3,Loss,0,,,,,,,,,,,,,
1993-94,19,Bayern Munich19,12/4/1993,Bayern Munich,Leverkusen,1,1,Draw,1,,,,,,,,,,,,,
1993-94,20,Bayern Munich20,12/11/1993,Bayern Munich,Dresden,1,1,Draw,1,,,,,,,,,,,,,
1993-94,21,Bayern Munich21,2/12/1994,Bayern Munich,Stuttgart,1,3,Loss,0,,,,,,,,,,,,,
1993-94,22,Bayern Munich22,2/19/1994,Bayern Munich,Leipzig,3,1,Win,3,,,,,,,,,,,,,
1993-94,23,Bayern Munich23,2/26/1994,Bayern Munich,Duisburg,4,0,Win,3,,,,,,,,,,,,,
1993-94,24,Bayern Munich24,3/5/1994,Bayern Munich,Werder Bremen,2,0,Win,3,,,,,,,,,,,,,
1993-94,25,Bayern Munich25,3/12/1994,Bayern Munich,Wattenscheid,3,1,Win,3,,,,,,,,,,,,,
1993-94,26,Bayern Munich26,3/19/1994,Bayern Munich,Dortmund,0,0,Draw,1,,,,,,,,,,,,,
